color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_correct,colorpractice_numVertices,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,
,,,,,,,,,,,,,,d,11.4769953194,,,,,,,,,,,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
,,,,,,,,,,,,,,,,a,6.59783967296,,,,,,,,,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
,,,,,,,,,,,,,,,,,,a,3.59903871426,,,,,,,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#fdae61,o,0,0,0,0,0,0,0,3,,,,,,,,,,,a,15.677638616,a,6.66442952721,1,3,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#d7191c,r,0,0,0,0,0,1,1,2,,,,,,,,,,,,,f,2.39981311556,1,6,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#fdae61,o,0,0,0,0,0,2,2,4,,,,,,,,,,,,,f,1.81693089158,1,4,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#d7191c,r,0,0,0,0,0,3,3,1,,,,,,,,,,,,,f,1.28377786812,1,5,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#2c7bb6,b,0,0,0,0,0,4,4,8,,,,,,,,,,,,,f,3.03288193392,1,3,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#2c7bb6,b,0,0,0,0,0,5,5,7,,,,,,,,,,,,,f,0.418293612952,0,5,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#fdae61,o,0,0,0,0,0,6,6,5,,,,,,,,,,,,,f,0.401093372162,1,999,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#2c7bb6,b,0,0,0,0,0,7,7,6,,,,,,,,,,,,,f,0.350846535654,1,3,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#d7191c,r,0,0,0,0,0,8,8,0,,,,,,,,,,,,,f,0.351204864707,1,5,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#fdae61,o,1,0,1,0,0,0,0,4,,,,,,,,,,,f,2.08314617371,a,0.567419187428,1,3,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#d7191c,r,1,0,1,0,0,1,1,0,,,,,,,,,,,,,f,0.367462651001,1,5,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#d7191c,r,1,0,1,0,0,2,2,2,,,,,,,,,,,,,a,0.267584340083,1,999,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#2c7bb6,b,1,0,1,0,0,3,3,6,,,,,,,,,,,,,f,0.301228002144,1,3,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#2c7bb6,b,1,0,1,0,0,4,4,8,,,,,,,,,,,,,a,0.250802670466,1,999,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#2c7bb6,b,1,0,1,0,0,5,5,7,,,,,,,,,,,,,f,0.284007234409,0,4,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#fdae61,o,1,0,1,0,0,6,6,3,,,,,,,,,,,,,a,0.28410585299,0,3,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#fdae61,o,1,0,1,0,0,7,7,5,,,,,,,,,,,,,f,0.284288364302,0,5,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#d7191c,r,1,0,1,0,0,8,8,1,,,,,,,,,,,,,a,0.28472076885,0,4,,,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
,,,,,,,,,,,,,,,,,,,,,,,,,,f,4.26515412835,,,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
#2c7bb6,b,,,,,,,,,0,0,0,42,,,,,,,,,,,1,999,,,f,1.25070806803,2018_Jul_12_1033,60.017488698,Arrows_VVA_Color,9999,
