Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,d,0.453689091839,,,,,,,,,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,0,0,0,8,,,,,,,s,0.518614186905,f,1.01110767177,,,,,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,0,1,1,3,,,,,,,,,a,0.323890218046,,,,,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,0,2,2,6,,,,,,,,,f,0.300164539833,,,,,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,0,3,3,5,,,,,,,,,a,0.285955735017,,,,,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,0,4,4,7,,,,,,,,,f,0.206895730691,,,,,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,0,5,5,2,,,,,,,,,a,0.222838608082,,,,,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,0,6,6,0,,,,,,,,,f,0.113620763412,,,,,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,0,7,7,1,,,,,,,,,a,0.203391048126,,,,,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,0,8,8,4,,,,,,,,,f,0.173068586271,,,,,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,,,,,0,0,0,0,,,,,,,d,0.806221067905,f,0.306954682572,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,,,,,0,1,1,2,,,,,,,,,a,0.403206802905,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,,,,,0,2,2,5,,,,,,,,,f,0.231206412194,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,,,,,0,3,3,3,,,,,,,,,a,0.225286589935,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,,,,,0,4,4,4,,,,,,,,,f,0.196201871615,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,,,,,0,5,5,8,,,,,,,,,a,0.198467989452,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,,,,,0,6,6,6,,,,,,,,,f,0.27255813498,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,,,,,0,7,7,1,,,,,,,,,a,0.365260414779,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,,,,,0,8,8,7,,,,,,,,,f,0.793522597989,2018_Aug_07_0859,None,Arrows_VVA_Direction,1001,Whi,
