Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,d,0.717926850077,,,,,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,0,0,0,4,,,,,,,,,,,s,0.601322774193,f,2.5862061904,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,0,1,1,8,,,,,,,,,,,,,a,1.63585410989,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,0,2,2,3,,,,,,,,,,,,,f,0.417591680307,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,0,3,3,2,,,,,,,,,,,,,a,0.717750136857,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,0,4,4,0,,,,,,,,,,,,,f,0.400765893632,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,0,5,5,7,,,,,,,,,,,,,a,0.5675875257,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,0,6,6,5,,,,,,,,,,,,,f,0.384502722067,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,0,7,7,1,,,,,,,,,,,,,a,0.384407928912,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,0,8,8,6,,,,,,,,,,,,,f,0.300690936856,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,,,,,0,0,0,1,,,,,,,,,f,0.351098079351,d,1.0178889914,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,,,,,0,1,1,2,,,,,,,,,a,0.334155849414,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,,,,,0,2,2,4,,,,,,,,,f,0.434250993538,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,,,,,0,3,3,3,,,,,,,,,a,0.434183702222,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,,,,,0,4,4,6,,,,,,,,,f,0.400911886827,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,,,,,0,5,5,7,,,,,,,,,a,0.401165253716,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,,,,,0,6,6,0,,,,,,,,,f,0.150538565591,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,,,,,0,7,7,8,,,,,,,,,a,0.300722534652,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,,,,,0,8,8,5,,,,,,,,,f,0.167392731528,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,,,,,,,,,0,0,0,2,,,,,f,0.484248828609,d,0.751364260912,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,,,,,,,,,0,1,1,7,,,,,a,0.283954969724,,,2018_Jul_31_1508,59.9167328521,Arrows_VVA_Direction,1002,Whi,
