Stimulus,direction,number,format,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,d,0.265534006059,,,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
right_schema_1_WHI.jpg,right,1,schema,0,0,0,0,,,,,,,d,1.73535658186,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
right_schema_2_WHI.jpg,right,2,schema,0,1,1,1,,,,,,,d,0.484137802385,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
ahead_schema_1_WHI.jpg,ahead,1,schema,0,2,2,2,,,,,,,d,1.15156252123,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
ahead_schema_2_WHI.jpg,ahead,2,schema,0,3,3,3,,,,,,,d,0.600951910019,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
left_schema_1_WHI.jpg,left,1,schema,0,4,4,4,,,,,,,d,0.43579154741,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
left_schema_2_WHI.jpg,left,2,schema,0,5,5,5,,,,,,,d,0.400797666516,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
right_word_1_WHI.jpg,right,1,word,0,6,6,6,,,,,,,d,0.450782906264,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
right_word_2_WHI.jpg,right,2,word,0,7,7,7,,,,,,,d,0.216801849194,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
ahead_word_1_WHI.jpg,ahead,1,word,0,8,8,8,,,,,,,d,0.267236478627,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
ahead_word_2_WHI.jpg,ahead,2,word,0,9,9,9,,,,,,,d,0.234306396451,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
left_word_1_WHI.jpg,left,1,word,0,10,10,10,,,,,,,d,0.46722951578,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
left_word_2_WHI.jpg,left,2,word,0,11,11,11,,,,,,,d,0.384130458813,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
right_image_1_WHI.jpg,right,1,image,0,12,12,12,,,,,,,d,0.701324090362,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
right_image_2_WHI.jpg,right,2,image,0,13,13,13,,,,,,,d,0.756388955284,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
ahead_image_1_WHI.jpg,ahead,1,image,0,14,14,14,,,,,,,d,0.817816662602,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
ahead_image_2_WHI.jpg,ahead,2,image,0,15,15,15,,,,,,,d,1.35177937523,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
left_image_1_WHI.jpg,left,1,image,0,16,16,16,,,,,,,d,1.63528926065,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
left_image_2_WHI.jpg,left,2,image,0,17,17,17,,,,,,,d,0.50074561825,2018_Nov_05_1223,59.9804683674,Arrows_VVA_Direction,1003,Whi,
